TIME,VASSETID,NRUNHOURDAY
2020-11-29T17:00:00Z,ACO.P1.H1.GAEO1.014,17.773
2020-11-30T17:00:00Z,ACO.P1.H1.GAEO1.014,21.749
2020-12-01T17:00:00Z,ACO.P1.H1.GAEO1.014,23.986
2020-12-02T17:00:00Z,ACO.P1.H1.GAEO1.014,18.718
2020-12-03T17:00:00Z,ACO.P1.H1.GAEO1.014,1.718
2020-11-26T17:00:00Z,ACO.P1.H1.GAEO1.015,9.6
2020-11-27T17:00:00Z,ACO.P1.H1.GAEO1.015,9.425
2020-11-28T17:00:00Z,ACO.P1.H1.GAEO1.015,0.0
2020-11-29T17:00:00Z,ACO.P1.H1.GAEO1.015,0.0
2020-11-30T17:00:00Z,ACO.P1.H1.GAEO1.015,10.364
2020-12-01T17:00:00Z,ACO.P1.H1.GAEO1.015,11.099
2020-12-02T17:00:00Z,ACO.P1.H1.GAEO1.015,11.804
2020-12-03T17:00:00Z,ACO.P1.H1.GAEO1.015,1.133
2020-11-26T17:00:00Z,ACO.P1.H1.GAEO1.016,8.786
2020-11-27T17:00:00Z,ACO.P1.H1.GAEO1.016,3.341
2020-11-28T17:00:00Z,ACO.P1.H1.GAEO1.016,0.0
2020-11-29T17:00:00Z,ACO.P1.H1.GAEO1.016,6.012
2020-11-30T17:00:00Z,ACO.P1.H1.GAEO1.016,8.432
2020-12-01T17:00:00Z,ACO.P1.H1.GAEO1.016,11.075
2020-12-02T17:00:00Z,ACO.P1.H1.GAEO1.016,6.714
2020-12-03T17:00:00Z,ACO.P1.H1.GAEO1.016,1.128
2020-11-26T17:00:00Z,ACO.P1.H1.GAEO1.018,8.811
2020-11-27T17:00:00Z,ACO.P1.H1.GAEO1.018,0.0
2020-11-28T17:00:00Z,ACO.P1.H1.GAEO1.018,0.0
2020-11-29T17:00:00Z,ACO.P1.H1.GAEO1.018,9.235
2020-11-30T17:00:00Z,ACO.P1.H1.GAEO1.018,9.238
2020-12-01T17:00:00Z,ACO.P1.H1.GAEO1.018,9.144
2020-12-02T17:00:00Z,ACO.P1.H1.GAEO1.018,9.051
2020-12-03T17:00:00Z,ACO.P1.H1.GAEO1.018,0.41
